Location [Note 1],1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,To CIA estimates
Sri Lanka *,89.03,73.52,61.44,52.94,44.4,35.78,29.2,24.24,19.99,16.2,11.79,10.17,8.78,7.57,<-
Costa Rica *,103.26,92.57,82.05,69.65,56.18,35.1,22.64,17.36,14.56,12.37,10.89,10.02,9.33,7.32,<-
Brunei *,108.44,101.34,64.41,43.9,33.31,22.5,13.09,10.94,10.54,9.88,9.71,9.26,8.78,7.92,<-
Oman *,210.94,180.37,153.75,130.66,108.93,82.62,59.43,42.11,30.87,21.7,14.64,9.77,9.6,7.27,<-
U.S. Virgin Islands (US),58.2,46.87,41.15,35.18,29.52,24.92,21.54,18.04,15.33,13.15,11.63,10.66,8.96,8.16,<-
Albania *,144.77,124.7,98.87,76.89,57.95,46.84,43.2,37.85,30.74,26.33,21.15,16.78,9.21,8.03,<-
French Guiana (France),102.69,88.65,72.81,50.77,45.24,42.28,31.79,25.18,20.71,16.89,13.19,10.55,9.12,8.7,<-
Thailand *,127.16,108.7,92.47,77.54,62.73,50.85,41.55,33.4,26.07,20.89,16.7,13.4,10.08,7.75,<-
Uruguay *,57.31,53.05,47.85,47.1,46.29,42.42,33.47,22.57,20.05,15.58,14.53,11.28,10.05,8.7,<-
Guam * (US),82.2,70.85,60.0,49.95,41.29,34.23,28.6,24.3,20.76,17.03,13.58,11.37,10.07,8.69,<-
Lebanon *,68.53,59.6,52.93,47.21,41.7,38.02,34.94,30.41,25.12,18.84,13.81,10.59,9.6,9.42,<-
Curaçao * (Netherlands),66.27,49.57,40.95,34.1,27.21,21.55,17.75,16.84,14.78,15.21,14.67,12.98,10.27,9.05,<-
North Macedonia *,136.29,112.57,94.81,82.04,68.72,62.23,51.52,40.04,26.54,18.43,12.94,10.75,8.93,10.69,<-
Turkey *,217.18,199.45,178.24,159.42,144.95,120.07,94.93,73.05,56.19,36.99,24.7,16.37,11.84,8.9,<-
Barbados *,121.51,79.26,54.79,42.86,33.96,26.18,20.11,16.56,13.44,12.32,12.96,12.58,11.46,10.04,<-
Kazakhstan *,110.24,101.67,93.25,85.05,76.71,68.59,60.21,51.98,50.9,43.51,32.01,23.86,14.12,7.67,<-
China *,128.88,131.05,135.04,93.82,71.95,55.0,44.64,42.27,41.27,35.06,27.08,18.11,12.28,9.89,<-
Argentina *,63.89,58.78,59.72,57.36,48.09,39.04,32.19,27.11,23.23,19.73,16.75,14.21,12.06,10.23,<-
Georgia *,79.86,72.89,65.84,58.93,51.93,49.29,46.6,43.97,45.0,34.91,26.52,18.19,12.92,9.37,<-
Mauritius *,102.97,73.89,60.57,67.27,60.77,37.69,25.98,23.12,18.42,19.7,13.35,13.21,11.96,11.22,<-
Seychelles *,80.91,76.09,69.77,60.36,47.07,32.16,20.95,15.84,13.26,11.9,11.86,12.15,12.37,10.87,<-
Libya *,253.75,228.98,165.97,121.28,89.9,67.09,50.99,41.18,32.91,26.47,21.46,17.58,12.96,10.53,<-
